athlete,athleteLabel,sportLabel,birthDate,birthPlaceLabel,educationLabel,nationalTeamLabel,coachLabel
http://www.wikidata.org/entity/Q1166408,Q1166408,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q132672036,Q132672036,биатлон,2000-09-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q136089435,Q136089435,биатлон,2005-04-05T00:00:00Z,Будапешт,,,
http://www.wikidata.org/entity/Q138546980,Q138546980,биатлон,2005-06-17T00:00:00Z,,,,
http://www.wikidata.org/entity/Q138635017,Q138635017,биатлон,2004-04-06T00:00:00Z,,,,
http://www.wikidata.org/entity/Q138639307,Q138639307,биатлон,1994-07-05T00:00:00Z,,,,
http://www.wikidata.org/entity/Q139794472,Q139794472,биатлон,1997-03-11T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1479073,Q1479073,биатлон,1991-02-21T00:00:00Z,,,,
http://www.wikidata.org/entity/Q15071098,Q15071098,биатлон,1988-10-14T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1696325,Q1696325,биатлон,1988-01-25T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1738064,Q1738064,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1789566,Q1789566,биатлон,1985-08-19T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1913801,Q1913801,биатлон,1987-07-31T00:00:00Z,Новоуральск,,,
http://www.wikidata.org/entity/Q2643697,Q2643697,биатлон,1987-04-18T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2737468,Q2737468,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2741062,Q2741062,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2751741,Q2751741,биатлон,2000-01-01T00:00:00Z,Москва,,,
http://www.wikidata.org/entity/Q65211496,Q65211496,биатлон,2000-01-01T00:00:00Z,Московская область,,,
http://www.wikidata.org/entity/Q65212797,Q65212797,биатлон,1998-07-25T00:00:00Z,Хабаровск,,,
http://www.wikidata.org/entity/Q302047,Aaron Gillmor,биатлон,1991-07-24T00:00:00Z,,,,
http://www.wikidata.org/entity/Q302366,Aaron Neumann,биатлон,1991-04-23T00:00:00Z,Принс-Джордж,,,
http://www.wikidata.org/entity/Q108273171,Aaron Pike,биатлон,1986-05-04T00:00:00Z,Парк-Рапидс,,,
http://www.wikidata.org/entity/Q302667,Aaron Scott,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q346289,Ada Ringen,биатлон,1989-11-21T00:00:00Z,,,,
http://www.wikidata.org/entity/Q350244,Adam Kwak,биатлон,1986-03-30T00:00:00Z,Закопане,,,
http://www.wikidata.org/entity/Q105492040,Adam Runnalls,биатлон,1998-10-03T00:00:00Z,Калгари,,,
http://www.wikidata.org/entity/Q352927,Addie Byrne,биатлон,1990-10-11T00:00:00Z,,,,
http://www.wikidata.org/entity/Q108933705,Adelina Sabitava,биатлон,1997-05-05T00:00:00Z,Уфа,,,
http://www.wikidata.org/entity/Q358850,Admir Hodzić,биатлон,1985-12-05T00:00:00Z,,,,
http://www.wikidata.org/entity/Q372754,Adrian Cojenelu,биатлон,1990-09-05T00:00:00Z,,,,
http://www.wikidata.org/entity/Q383456,Afonso Pegado,биатлон,1987-04-06T00:00:00Z,,,,
http://www.wikidata.org/entity/Q81901136,Aggelos Antoniadis,биатлон,2003-05-02T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2635044,Agnieszka Rypien,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q402001,Ahmet Üstüntaş,биатлон,1990-01-27T00:00:00Z,,,,
http://www.wikidata.org/entity/Q28950438,Aidan Millar,биатлон,1995-12-01T00:00:00Z,Канмор,,,
http://www.wikidata.org/entity/Q19207487,Ajlan Rastić,биатлон,1993-02-10T00:00:00Z,Сьеница,,,
http://www.wikidata.org/entity/Q2636425,Alain Guimont,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q81907982,Aleksa Vuković,биатлон,2002-08-21T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2640757,Aleksandar Lasarow,биатлон,1990-11-03T00:00:00Z,,,,
http://www.wikidata.org/entity/Q125392846,Aleksandr Starodubets,биатлон,1993-03-24T00:00:00Z,,,,
http://www.wikidata.org/entity/Q81904676,Aleksandrs Kuznecovs,биатлон,2002-10-20T00:00:00Z,,,,
http://www.wikidata.org/entity/Q15071064,Aleksandrs Patrijuks,биатлон,1993-12-30T00:00:00Z,Плявиняс,,,
http://www.wikidata.org/entity/Q2640829,Aleksandrs Sverckovs,биатлон,1990-01-22T00:00:00Z,Алуксне,,,
http://www.wikidata.org/entity/Q81842282,Alena Mokhova,биатлон,2002-03-06T00:00:00Z,,,,
http://www.wikidata.org/entity/Q15782196,Alena Schyn,биатлон,1985-04-13T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2641118,Alessandro Morassi,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q61452758,Alex Cisar,биатлон,2000-04-05T00:00:00Z,Крань,,,
http://www.wikidata.org/entity/Q111737953,Alex Gleave,биатлон,1989-12-29T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2642225,Alexander Görzen,биатлон,1986-04-20T00:00:00Z,,,,
http://www.wikidata.org/entity/Q29841121,Alexander Howe,биатлон,1989-09-09T00:00:00Z,Лакония,,,
http://www.wikidata.org/entity/Q1648716,Alexander Issatschenko,биатлон,1986-07-22T00:00:00Z,,,,
http://www.wikidata.org/entity/Q18917123,Alexander Ketzer,биатлон,1993-11-10T00:00:00Z,Ruit,,,
http://www.wikidata.org/entity/Q2642911,Alexander Rotte,биатлон,1989-10-21T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1574626,Alexander Saposchnikow,биатлон,1989-07-03T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2642970,Alexander Schessler,биатлон,1985-01-25T00:00:00Z,,,,
http://www.wikidata.org/entity/Q19364683,Alexandra Sassina,биатлон,1993-04-08T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2643740,Alexandre Dumond,биатлон,2000-01-01T00:00:00Z,Оттава,,,
http://www.wikidata.org/entity/Q2643881,Alexandru Tisca,биатлон,1985-01-04T00:00:00Z,Бран,,,
http://www.wikidata.org/entity/Q2644031,Alexei Witkowski,биатлон,1987-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q15782421,Aliaksandr Knazko,биатлон,1991-06-25T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1478603,Alicia Hurley,биатлон,1988-01-01T00:00:00Z,Оттава,University of Alberta Augustana Campus,,
http://www.wikidata.org/entity/Q15782428,Alikber Yunusov,биатлон,1993-11-27T00:00:00Z,,,,
http://www.wikidata.org/entity/Q125381844,Alina Skripkina,биатлон,2001-01-04T00:00:00Z,,,,
http://www.wikidata.org/entity/Q19364680,Alina Slepenko,биатлон,1996-12-16T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1572394,Aliona Sosunova,биатлон,1989-05-14T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1589034,Aljaksej Abromtschyk,биатлон,1991-02-13T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1760315,Alois Reiter,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q29654324,Alžbeta Majdišová,биатлон,1993-08-26T00:00:00Z,,,,
http://www.wikidata.org/entity/Q18598974,Amadeja Teraž,биатлон,1989-12-21T00:00:00Z,,,,
http://www.wikidata.org/entity/Q111422544,Amandine Mengin,биатлон,2004-10-03T00:00:00Z,,,,
http://www.wikidata.org/entity/Q482890,Ana Kuzmanović,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q29546921,Ana Larisa Cotruș,биатлон,1997-10-22T00:00:00Z,Брашов,,,
http://www.wikidata.org/entity/Q81908280,Ana Marija Zafirovska,биатлон,2002-05-11T00:00:00Z,,,,
http://www.wikidata.org/entity/Q485421,Anamarija Brajdić,биатлон,1987-02-03T00:00:00Z,Риека,,,
http://www.wikidata.org/entity/Q81908320,Anastasiia Zenova,биатлон,2002-06-26T00:00:00Z,,,,
http://www.wikidata.org/entity/Q81905730,Anastasija Nedaivodina,биатлон,2002-07-26T00:00:00Z,,,,
http://www.wikidata.org/entity/Q16211184,Anastasiya Nychyporenko,биатлон,1995-01-28T00:00:00Z,Березанка,,,
http://www.wikidata.org/entity/Q2652355,Anatolii Lebeda,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q123986665,Anaëlle Bondoux,биатлон,2004-07-02T00:00:00Z,Гренобль,,,
http://www.wikidata.org/entity/Q19562112,Anders Emil Schiellerup,биатлон,1996-03-28T00:00:00Z,,,,
http://www.wikidata.org/entity/Q491029,Anders Hennum,биатлон,1987-11-23T00:00:00Z,,,,
http://www.wikidata.org/entity/Q493673,Andrea Contreras,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q81902438,Andrea Csutak,биатлон,2002-11-23T00:00:00Z,,,,
http://www.wikidata.org/entity/Q494105,Andrea Horčiková,биатлон,1992-10-26T00:00:00Z,,,,
http://www.wikidata.org/entity/Q15078069,Andrea Mayo,биатлон,1991-01-06T00:00:00Z,,,,
http://www.wikidata.org/entity/Q496335,Andreas Braun,биатлон,1985-10-23T00:00:00Z,Эйпен,,,
http://www.wikidata.org/entity/Q19206959,Andreas Dahlø Wærnes,биатлон,1990-09-18T00:00:00Z,,,,
http://www.wikidata.org/entity/Q15783304,Andreas Grimstvedt,биатлон,1992-02-28T00:00:00Z,,,,
http://www.wikidata.org/entity/Q81904468,Andreas Koppa,биатлон,2002-06-17T00:00:00Z,,,,
http://www.wikidata.org/entity/Q500604,Andreas Schwabl,биатлон,1986-10-06T00:00:00Z,,,,
http://www.wikidata.org/entity/Q501601,Andreea Cioacă,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q125380086,Andreea Mezdrea,биатлон,2001-06-07T00:00:00Z,Кымпулунг-Молдовенеск,,,
http://www.wikidata.org/entity/Q81903490,Andrei Haurosh,биатлон,2003-05-02T00:00:00Z,,,,
http://www.wikidata.org/entity/Q130223862,Andrei Usov,биатлон,1994-06-16T00:00:00Z,,,,
http://www.wikidata.org/entity/Q15783374,Andrew Chisholm,биатлон,1991-11-17T00:00:00Z,Калгари,,,
http://www.wikidata.org/entity/Q506083,Andrew Lyon,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q510771,Andrij Bogaj,биатлон,1987-07-19T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2652602,Andriy Taran,биатлон,1986-03-13T00:00:00Z,,,,
http://www.wikidata.org/entity/Q502760,Andriy Vozniak,биатлон,1989-06-22T00:00:00Z,,,,
http://www.wikidata.org/entity/Q15966917,Andrzej Nędza-Kubiniec,биатлон,1991-06-19T00:00:00Z,Закопане,,,
http://www.wikidata.org/entity/Q517167,André Bolduc,биатлон,2000-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q528610,Ane Sandaker Kvittingen,биатлон,1989-11-25T00:00:00Z,,,,
http://www.wikidata.org/entity/Q528614,Ane Skrove Nossum,биатлон,1990-03-12T00:00:00Z,Трёнделаг,,,
http://www.wikidata.org/entity/Q529455,Anett Bozsik,биатлон,1990-03-13T00:00:00Z,Будапешт,,,
http://www.wikidata.org/entity/Q533253,Angela Salvi,биатлон,1988-11-12T00:00:00Z,Квебек,,,
http://www.wikidata.org/entity/Q28957903,Anika Kozica,биатлон,1997-06-05T00:00:00Z,Риека,,,
http://www.wikidata.org/entity/Q15979668,Anja Wicker,биатлон,1991-01-01T00:00:00Z,Штутгарт,,,
http://www.wikidata.org/entity/Q15979668,Anja Wicker,биатлон,1991-12-22T00:00:00Z,Штутгарт,,,
http://www.wikidata.org/entity/Q81901109,Anna Andexer,биатлон,2003-01-26T00:00:00Z,Шварцах,,,
http://www.wikidata.org/entity/Q560155,Anna Dreyeva,биатлон,1991-05-05T00:00:00Z,,,,
http://www.wikidata.org/entity/Q105962250,Anna Gandler,биатлон,2001-01-05T00:00:00Z,Халль-ин-Тироль,,,
http://www.wikidata.org/entity/Q15963987,Anna Hiidensalo,биатлон,1988-04-09T00:00:00Z,,,,
http://www.wikidata.org/entity/Q560910,Anna Hufnagl,биатлон,1988-03-31T00:00:00Z,Кирхдорф-ан-дер-Кремс,,,
http://www.wikidata.org/entity/Q105958423,Anna Juppe,биатлон,1999-09-14T00:00:00Z,Кауфбойрен,,,
http://www.wikidata.org/entity/Q9155510,Anna Mąka,биатлон,1992-05-22T00:00:00Z,Закопане,,,
http://www.wikidata.org/entity/Q81905736,Anna Nędza-Kubiniec,биатлон,2003-07-04T00:00:00Z,Закопане,,,
http://www.wikidata.org/entity/Q15071074,Anna Puskarčíková,биатлон,1995-04-22T00:00:00Z,,,,
http://www.wikidata.org/entity/Q18596641,Anna Svedin-Thunström,биатлон,1992-12-21T00:00:00Z,,,,
http://www.wikidata.org/entity/Q563463,Anna Timofeyeva,биатлон,1986-11-03T00:00:00Z,,,,
http://www.wikidata.org/entity/Q103962929,Anna Tkadlecová,биатлон,1996-02-06T00:00:00Z,Хрудим,,,
http://www.wikidata.org/entity/Q563543,Anna Wahls,биатлон,1994-01-08T00:00:00Z,,,,
http://www.wikidata.org/entity/Q19834660,Anna Weidel,биатлон,1996-05-25T00:00:00Z,Куфштайн,,,
http://www.wikidata.org/entity/Q19368616,Anna Wikström,биатлон,1992-03-31T00:00:00Z,Мура,,,
http://www.wikidata.org/entity/Q124306575,Anna-Karin Heijdenberg,биатлон,2000-07-22T00:00:00Z,Эстерсунд,,,
http://www.wikidata.org/entity/Q565651,Anne Mørkve,биатлон,1986-09-11T00:00:00Z,,,,
http://www.wikidata.org/entity/Q565710,Anne Preußler,биатлон,1985-03-09T00:00:00Z,Хермсдорф,,,
http://www.wikidata.org/entity/Q138097125,Anne de Besche,биатлон,2000-05-27T00:00:00Z,Осло,,,
http://www.wikidata.org/entity/Q17103762,Anne-Tine Markset,биатлон,1992-08-08T00:00:00Z,,,IL Koll,
http://www.wikidata.org/entity/Q17103762,Anne-Tine Markset,биатлон,1992-08-08T00:00:00Z,,,IL i BUL,
http://www.wikidata.org/entity/Q17103762,Anne-Tine Markset,биатлон,1992-08-08T00:00:00Z,,,SK Njård,
http://www.wikidata.org/entity/Q17103762,Anne-Tine Markset,биатлон,1992-08-08T00:00:00Z,,,Oslo SSL,
http://www.wikidata.org/entity/Q81903765,Anni Hyvärinen,биатлон,2003-03-09T00:00:00Z,,,,
http://www.wikidata.org/entity/Q124364134,Annie Lindh,биатлон,1997-04-09T00:00:00Z,,,,
