athlete,athleteLabel,sportLabel,genderLabel,countryLabel,birthDate,deathDate,height,weight
http://www.wikidata.org/entity/Q81903975,Chelsey Johnson,биатлон,женский пол,Австралия,2002-10-14T00:00:00Z,,,
http://www.wikidata.org/entity/Q81905520,Isabella Moon,биатлон,женский пол,Австралия,2003-09-23T00:00:00Z,,,
http://www.wikidata.org/entity/Q1873770,Lucy Glanville,биатлон,женский пол,Австралия,1994-10-16T00:00:00Z,,157,58
http://www.wikidata.org/entity/Q81905467,Luka Miskin,биатлон,женский пол,Австралия,2002-02-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q81901109,Anna Andexer,биатлон,женский пол,Австрия,2003-01-26T00:00:00Z,,,
http://www.wikidata.org/entity/Q105962250,Anna Gandler,биатлон,женский пол,Австрия,2001-01-05T00:00:00Z,,169,56
http://www.wikidata.org/entity/Q560910,Anna Hufnagl,биатлон,женский пол,Австрия,1988-03-31T00:00:00Z,,,
http://www.wikidata.org/entity/Q105958423,Anna Juppe,биатлон,женский пол,Австрия,1999-09-14T00:00:00Z,,,
http://www.wikidata.org/entity/Q1187756,Denise Feiersinger,биатлон,женский пол,Австрия,1990-11-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q2691944,Elisabeth Mayer,биатлон,женский пол,Австрия,1988-10-14T00:00:00Z,,,
http://www.wikidata.org/entity/Q1390431,Fabienne Hartweger,биатлон,женский пол,Австрия,1992-09-29T00:00:00Z,,,
http://www.wikidata.org/entity/Q81904545,Femke Kramer,биатлон,женский пол,Австрия,2003-09-27T00:00:00Z,,,
http://www.wikidata.org/entity/Q1739681,Kerstin Muschet,биатлон,женский пол,Австрия,1988-12-25T00:00:00Z,,,
http://www.wikidata.org/entity/Q105957161,Kristina Oberthaler,биатлон,женский пол,Австрия,1998-03-29T00:00:00Z,,,
http://www.wikidata.org/entity/Q81907986,Lara Wagner,биатлон,женский пол,Австрия,2002-04-26T00:00:00Z,,,
http://www.wikidata.org/entity/Q124542082,Lea Rothschopf,биатлон,женский пол,Австрия,2001-12-31T00:00:00Z,,,
http://www.wikidata.org/entity/Q105953398,Lisa Osl,биатлон,женский пол,Австрия,2000-06-07T00:00:00Z,,,
http://www.wikidata.org/entity/Q15833331,Magdalena Fankhauser,биатлон,женский пол,Австрия,1995-11-27T00:00:00Z,,,
http://www.wikidata.org/entity/Q15833332,Magdalena Millinger,биатлон,женский пол,Австрия,1994-08-04T00:00:00Z,,,
http://www.wikidata.org/entity/Q1700744,Ramona Düringer,биатлон,женский пол,Австрия,1989-12-02T00:00:00Z,,,
http://www.wikidata.org/entity/Q15841752,Raphaela Sulzbacher,биатлон,женский пол,Австрия,1991-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1434986,Romana Schrempf,биатлон,женский пол,Австрия,1986-11-24T00:00:00Z,,,
http://www.wikidata.org/entity/Q15843713,Sabrina Schnedl,биатлон,женский пол,Австрия,1992-01-15T00:00:00Z,,,
