sportLabel,genderLabel,countryLabel,athleteCount,avgHeight,avgWeight
биатлон,женский пол,Австралия,1,157,58
биатлон,женский пол,Австрия,2,167.5,55.5
биатлон,женский пол,Андорра,1,160,49
биатлон,женский пол,Беларусь,6,168.83333333333333333333,57.16666666666666666667
биатлон,женский пол,Бельгия,1,172,69
биатлон,женский пол,Болгария,5,164.8,57.4
биатлон,женский пол,Босния и Герцеговина,1,168,55
биатлон,женский пол,ГДР,2,179,63
биатлон,женский пол,Германия,11,170.90909090909090909091,59.45454545454545454545
биатлон,женский пол,Греция,2,170,56
биатлон,женский пол,Испания,1,165,56
биатлон,женский пол,Италия,9,167.66666666666666666667,57.33333333333333333333
биатлон,женский пол,Казахстан,3,167.33333333333333333333,57.33333333333333333333
биатлон,женский пол,Канада,2,172.5,60.5
биатлон,женский пол,Китай,5,167.4,58.8
биатлон,женский пол,Латвия,2,159.5,52
биатлон,женский пол,Молдова,1,158,48
биатлон,женский пол,Новая Зеландия,1,152,59
биатлон,женский пол,Норвегия,2,169.5,64.5
биатлон,женский пол,Польша,2,164.5,52
биатлон,женский пол,Республика Корея,1,162,60
биатлон,женский пол,Россия,12,168.33333333333333333333,57.91666666666666666667
биатлон,женский пол,СССР,2,172,61.5
биатлон,женский пол,СФРЮ,1,168,55
биатлон,женский пол,США,4,170.5,56.75
биатлон,женский пол,Северная Македония,1,173,62
биатлон,женский пол,Словакия,4,169,55.5
биатлон,женский пол,Словения,3,170.66666666666666666667,60.33333333333333333333
биатлон,женский пол,Украина,6,167.16666666666666666667,59
биатлон,женский пол,Финляндия,3,172.33333333333333333333,61
биатлон,женский пол,Франция,6,166.5,58.5
биатлон,женский пол,Хорватия,1,160,61
биатлон,женский пол,Чехия,4,170.5,58.25
биатлон,женский пол,Швейцария,2,163.5,56
биатлон,женский пол,Швеция,4,129.1325,62.25
биатлон,женский пол,Эстония,1,166,57
биатлон,женский пол,Япония,1,154,47
биатлон,мужской пол,Австрия,5,187.4,75.8
биатлон,мужской пол,Армения,1,164,65
биатлон,мужской пол,Беларусь,6,176.83333333333333333333,73.66666666666666666667
биатлон,мужской пол,Болгария,5,175.8,73.2
биатлон,мужской пол,ГДР,1,170,70
биатлон,мужской пол,Германия,9,180,75.33333333333333333333
биатлон,мужской пол,Греция,1,181,76
биатлон,мужской пол,Италия,5,180.4,70.4
биатлон,мужской пол,Казахстан,3,180.33333333333333333333,73.66666666666666666667
биатлон,мужской пол,Канада,4,175.25,70
биатлон,мужской пол,Китай,2,175,71.5
биатлон,мужской пол,Латвия,2,96.9,77.5
биатлон,мужской пол,Молдова,2,182.5,72
биатлон,мужской пол,Норвегия,6,183.33333333333333333333,76.66666666666666666667
биатлон,мужской пол,Польша,1,179,68
биатлон,мужской пол,Республика Корея,1,178,76
биатлон,мужской пол,Россия,12,174.83333333333333333333,67.33333333333333333333
биатлон,мужской пол,Румыния,2,177,68.5
биатлон,мужской пол,СССР,2,182,74
биатлон,мужской пол,США,2,176.5,69.5
биатлон,мужской пол,Сербия,1,188,81
биатлон,мужской пол,Словения,2,183.5,75.5
биатлон,мужской пол,Украина,5,179,68.6
биатлон,мужской пол,Финляндия,3,182.66666666666666666667,75.33333333333333333333
биатлон,мужской пол,Франция,7,126.93714285714285714286,69.14285714285714285714
биатлон,мужской пол,Чехия,2,174,65
биатлон,мужской пол,Чили,1,190,86
биатлон,мужской пол,Швейцария,3,182.66666666666666666667,75.66666666666666666667
биатлон,мужской пол,Швеция,3,177.66666666666666666667,75.33333333333333333333
биатлон,мужской пол,Эстония,1,186,75
плавание,женский пол,Австралия,41,152.43243902439024390244,63.5121951219512195122
плавание,женский пол,Австрия,3,173.66666666666666666667,61.33333333333333333333
плавание,женский пол,Албания,1,174,61
плавание,женский пол,Ангола,1,166,59
плавание,женский пол,Андорра,1,1.7,55
плавание,женский пол,Антигуа и Барбуда,3,172.66666666666666666667,64
плавание,женский пол,Аргентина,2,169,60
плавание,женский пол,Багамские Острова,1,180,66
плавание,женский пол,Бангладеш,1,158,53
плавание,женский пол,Бахрейн,3,165.66666666666666666667,61
плавание,женский пол,Беларусь,7,175.14285714285714285714,59
плавание,женский пол,Бельгия,2,182.5,70
плавание,женский пол,Бенин,2,82.86,60.5
плавание,женский пол,Бермудские Острова,1,161,54
плавание,женский пол,Болгария,1,173,64
плавание,женский пол,Босния и Герцеговина,1,173,62
плавание,женский пол,Бразилия,7,166.14285714285714285714,59.85714285714285714286
плавание,женский пол,Буркина-Фасо,1,170,63
плавание,женский пол,Великобритания,20,172,64.7
плавание,женский пол,Венгрия,16,164.171875,62.875
плавание,женский пол,Венесуэла,1,162,54
плавание,женский пол,Вьетнам,1,1.73,53
плавание,женский пол,ГДР,1,169,60
плавание,женский пол,Гайана,1,143,58
плавание,женский пол,Гватемала,2,177,64.5
плавание,женский пол,Гвинея,1,159,61
плавание,женский пол,Германия,12,176.84615384615384615385,64.76923076923076923077
плавание,женский пол,Гондурас,1,167,60
плавание,женский пол,Гонконг,3,171.66666666666666666667,56.66666666666666666667
плавание,женский пол,Государство Палестина,3,165.66666666666666666667,56.33333333333333333333
плавание,женский пол,Гренада,1,150,54
плавание,женский пол,Греция,6,171.83333333333333333333,60
плавание,женский пол,Датское королевство,5,178.4,67.2
плавание,женский пол,Доминиканская Республика,1,185,70
плавание,женский пол,Египет,6,166.83333333333333333333,56.66666666666666666667
плавание,женский пол,Израиль,4,171.5,60.75
плавание,женский пол,Индонезия,1,165,62
плавание,женский пол,Ирландия,4,173.75,66
плавание,женский пол,Исландия,4,178,68.75
плавание,женский пол,Испания,20,164.083,61.45
плавание,женский пол,Италия,56,173.08928571428571428571,61.91071428571428571429
плавание,женский пол,Казахстан,2,173.5,57
плавание,женский пол,Каймановы Острова,2,166,59.5
плавание,женский пол,Камерун,1,170,55
плавание,женский пол,Канада,28,111.09035714285714285714,64.17857142857142857143
плавание,женский пол,Кипр,2,168.5,57.5
плавание,женский пол,Китай,53,147.5047169811320754717,61.47169811320754716981
плавание,женский пол,Китайская Республика (Тайвань),5,166.6,53.4
плавание,женский пол,Колумбия,2,166,62
плавание,женский пол,Коморы,1,161,50
плавание,женский пол,Королевство Нидерландов,15,175.93333333333333333333,64.33333333333333333333
плавание,женский пол,Коста-Рика,2,165.5,55
плавание,женский пол,Кот-д’Ивуар,2,168,56.5
плавание,женский пол,Кувейт,1,182,67
плавание,женский пол,Лаос,1,166,63
плавание,женский пол,Ливан,1,166,52
плавание,женский пол,Ливия,1,167,69
плавание,женский пол,Литва,3,172.66666666666666666667,59.66666666666666666667
плавание,женский пол,Лихтенштейн,1,177,73
плавание,женский пол,Люксембург,1,170,65
плавание,женский пол,Маврикий,3,165,60
плавание,женский пол,Малайзия,2,166,53
плавание,женский пол,Мали,1,168,74
плавание,женский пол,Мальдивы,2,162,51.5
плавание,женский пол,Мальта,1,176,74
плавание,женский пол,Мексика,3,173.66666666666666666667,58.66666666666666666667
плавание,женский пол,Мозамбик,2,170.5,60.5
плавание,женский пол,Монголия,1,176,61
плавание,женский пол,Непал,2,163,51
плавание,женский пол,Нигерия,1,168,57
плавание,женский пол,Никарагуа,1,160,60
плавание,женский пол,Новая Зеландия,6,174,67.33333333333333333333
плавание,женский пол,Норвегия,1,175,57
плавание,женский пол,Пакистан,2,168,65.5
плавание,женский пол,Панама,2,165,56
плавание,женский пол,Парагвай,2,167,68
плавание,женский пол,Польша,7,151.69714285714285714286,66
плавание,женский пол,Португалия,3,113.9,55.33333333333333333333
плавание,женский пол,Республика Конго,2,165.5,63
плавание,женский пол,Республика Корея,14,166.42857142857142857143,55.85714285714285714286
плавание,женский пол,Россия,23,175.82608695652173913043,62.34782608695652173913
плавание,женский пол,Руанда,1,160,50
плавание,женский пол,СССР,5,177.2,61.2
плавание,женский пол,США,55,137.37327272727272727273,66.83636363636363636364
плавание,женский пол,Сальвадор,1,165,57
плавание,женский пол,Сан-Марино,2,164.5,57
плавание,женский пол,Северная Македония,1,174,63
плавание,женский пол,Сейшельские Острова,2,173.5,65.5
плавание,женский пол,Сенегал,1,169,58
плавание,женский пол,Сент-Люсия,1,162,50
плавание,женский пол,Сербия,3,169.66666666666666666667,59.33333333333333333333
плавание,женский пол,Сингапур,2,167.5,55
плавание,женский пол,Сирия,2,175,61
плавание,женский пол,Словакия,1,165,52
плавание,женский пол,Словения,7,172.28571428571428571429,61.57142857142857142857
плавание,женский пол,Суринам,1,170,53
плавание,женский пол,Таджикистан,1,165,50
плавание,женский пол,Того,1,158,53
плавание,женский пол,Туркменистан,1,168,65
плавание,женский пол,Турция,4,173.5,63.25
плавание,женский пол,Узбекистан,2,172,56.5
плавание,женский пол,Украина,8,177.375,61.125
плавание,женский пол,Уругвай,1,166,60
плавание,женский пол,Филиппины,1,168,63
плавание,женский пол,Франция,23,166.07478260869565217391,60.69565217391304347826
плавание,женский пол,Хорватия,4,172.5,63
плавание,женский пол,Центральноафриканская Республика,1,166,68
плавание,женский пол,Черногория,1,177,67
плавание,женский пол,Чехия,4,179.75,67.75
плавание,женский пол,Чили,1,171,60
плавание,женский пол,Швейцария,5,175.4,61.6
плавание,женский пол,Швеция,9,179.88888888888888888889,69.44444444444444444444
плавание,женский пол,Эквадор,2,171.5,63
плавание,женский пол,Эсватини,1,165,60
плавание,женский пол,Эстония,3,174.66666666666666666667,65.33333333333333333333
плавание,женский пол,Эфиопия,2,162,55.5
плавание,женский пол,ЮАР,4,169,63.5
плавание,женский пол,Ямайка,2,92.36,69.5
плавание,женский пол,Япония,22,128.10363636363636363636,56.63636363636363636364
плавание,мужской пол,Австралия,25,151.8224,83.44
плавание,мужской пол,Австрия,2,192,83.5
плавание,мужской пол,Алжир,2,182.5,85
плавание,мужской пол,Ангола,1,175,68
плавание,мужской пол,Аргентина,6,185.16666666666666666667,78.66666666666666666667
плавание,мужской пол,Багамские Острова,2,184.5,77.5
плавание,мужской пол,Бангладеш,1,172,71
плавание,мужской пол,Барбадос,1,182,73
плавание,мужской пол,Бахрейн,1,172,71
плавание,мужской пол,Беларусь,4,186,77.5
плавание,мужской пол,Бельгия,11,168.18181818181818181818,79.36363636363636363636
плавание,мужской пол,Бермудские Острова,1,185,77
плавание,мужской пол,Болгария,2,193.5,85
плавание,мужской пол,Боливия,1,178,80
плавание,мужской пол,Ботсвана,1,175,72
плавание,мужской пол,Бразилия,16,184.9375,81.75
плавание,мужской пол,Бруней,1,166,62
плавание,мужской пол,Буркина-Фасо,1,177,72
плавание,мужской пол,Великобритания,26,145.44666666666666666667,82.77777777777777777778
плавание,мужской пол,Венгрия,21,166.36952380952380952381,76.57142857142857142857
плавание,мужской пол,Венесуэла,2,187,80
плавание,мужской пол,Вьетнам,2,180,66
плавание,мужской пол,Гайана,1,177,75
плавание,мужской пол,Гватемала,1,182,74
плавание,мужской пол,Гвинея,1,174,68
плавание,мужской пол,Германия,22,191.30434782608695652174,83.60869565217391304348
плавание,мужской пол,Гондурас,1,174,66
плавание,мужской пол,Государство Палестина,1,170,70
плавание,мужской пол,Греция,16,186.9375,79.9375
плавание,мужской пол,Грузия,1,179,77
плавание,мужской пол,Датское королевство,8,187.375,81.125
плавание,мужской пол,Джибути,1,180,70
плавание,мужской пол,Доминиканская Республика,1,180,75
плавание,мужской пол,Египет,5,186.4,79.8
плавание,мужской пол,Замбия,1,178,77
плавание,мужской пол,Зимбабве,1,181,84
плавание,мужской пол,Израиль,2,186.5,82
плавание,мужской пол,Индия,1,178,70
плавание,мужской пол,Индонезия,1,183,74
плавание,мужской пол,Иордания,1,173,71
плавание,мужской пол,Ирак,1,173,65
плавание,мужской пол,Иран,3,124.29666666666666666667,86.66666666666666666667
плавание,мужской пол,Ирландия,3,124.98666666666666666667,83
плавание,мужской пол,Исландия,1,183,84
плавание,мужской пол,Испания,10,148.958,78.2
плавание,мужской пол,Италия,66,177.28484848484848484848,78.57575757575757575758
плавание,мужской пол,Казахстан,5,185.2,79.6
плавание,мужской пол,Камбоджа,1,172,61
плавание,мужской пол,Камерун,1,173,75
плавание,мужской пол,Канада,9,185.11111111111111111111,78.66666666666666666667
плавание,мужской пол,Катар,1,175,72
плавание,мужской пол,Кения,2,178.5,69.5
плавание,мужской пол,Китай,23,169.69916666666666666667,79.83333333333333333333
плавание,мужской пол,Китайская Республика (Тайвань),4,178.5,72.5
плавание,мужской пол,Колумбия,2,182.5,80
плавание,мужской пол,Королевство Нидерландов,14,173.635,79.5
плавание,мужской пол,Коста-Рика,1,195,96
плавание,мужской пол,Кот-д’Ивуар,1,186,70
плавание,мужской пол,Куба,1,165,62
плавание,мужской пол,Кувейт,2,183,78.5
плавание,мужской пол,Лаос,1,170,50
плавание,мужской пол,Латвия,1,191,85
плавание,мужской пол,Ливия,1,182,80
плавание,мужской пол,Литва,5,186.4,80.2
плавание,мужской пол,Люксембург,2,1.865,80
плавание,мужской пол,Маврикий,2,190.5,83.4
плавание,мужской пол,Мадагаскар,1,178,70
плавание,мужской пол,Малави,1,175,75
плавание,мужской пол,Мальдивы,1,154,42
плавание,мужской пол,Мальта,1,168,65
плавание,мужской пол,Марокко,1,182,77
плавание,мужской пол,Мексика,2,187,79.5
плавание,мужской пол,Мозамбик,1,177,66
плавание,мужской пол,Молдова,2,189,80
плавание,мужской пол,Непал,1,171,65
плавание,мужской пол,Нигер,1,178,76
плавание,мужской пол,Новая Зеландия,11,169.81454545454545454545,83.27272727272727272727
плавание,мужской пол,Оман,2,175,61.5
плавание,мужской пол,Пакистан,1,167,79
плавание,мужской пол,Палау,1,184,93
плавание,мужской пол,Панама,2,172.5,66.5
плавание,мужской пол,Парагвай,2,174.5,70
плавание,мужской пол,Перу,2,188.5,81
плавание,мужской пол,Польша,13,188.30769230769230769231,82.30769230769230769231
плавание,мужской пол,Португалия,6,181.16666666666666666667,75.33333333333333333333
плавание,мужской пол,Республика Корея,6,181.33333333333333333333,74.83333333333333333333
плавание,мужской пол,Республика Косово,1,194,88
плавание,мужской пол,Россия,29,175.19724137931034482759,79.84482758620689655172
плавание,мужской пол,Румыния,1,190,80
плавание,мужской пол,США,44,139.20386363636363636364,84.13636363636363636364
плавание,мужской пол,Сальвадор,1,185,80
плавание,мужской пол,Сейшельские Острова,1,188,94
плавание,мужской пол,Сенегал,1,188,76
плавание,мужской пол,Сент-Люсия,1,171,53
плавание,мужской пол,Сербия,2,189,80
плавание,мужской пол,Сингапур,3,182.33333333333333333333,76
плавание,мужской пол,Сирия,2,187.5,70
плавание,мужской пол,Словакия,1,186,73
плавание,мужской пол,Словения,3,186.33333333333333333333,82.66666666666666666667
плавание,мужской пол,Судан,1,162,60
плавание,мужской пол,Суринам,2,184,77.5
плавание,мужской пол,Таджикистан,2,181,68.5
плавание,мужской пол,Тонга,1,186,80
плавание,мужской пол,Тринидад и Тобаго,1,190,82
плавание,мужской пол,Тунис,3,187.66666666666666666667,84
плавание,мужской пол,Туркменистан,1,196,80
плавание,мужской пол,Турция,3,190,89.66666666666666666667
плавание,мужской пол,Узбекистан,2,179,71.5
плавание,мужской пол,Украина,3,195,85.75
плавание,мужской пол,Уругвай,1,182,74
плавание,мужской пол,Фиджи,1,180,89
плавание,мужской пол,Филиппины,1,173,63
плавание,мужской пол,Финляндия,3,200,85.66666666666666666667
плавание,мужской пол,Франция,28,160.77,80.15
плавание,мужской пол,Хорватия,2,186,83
плавание,мужской пол,Чехия,4,184,79.25
плавание,мужской пол,Чили,2,190.5,82
плавание,мужской пол,Швейцария,2,185,73.5
плавание,мужской пол,Швеция,4,189.5,79.75
плавание,мужской пол,Шри-Ланка,2,179,71.5
плавание,мужской пол,Эсватини,1,180,85
плавание,мужской пол,Эстония,2,194.5,94.5
плавание,мужской пол,Эфиопия,1,176,81
плавание,мужской пол,ЮАР,15,185,78.52
плавание,мужской пол,Ямайка,1,188,66
плавание,мужской пол,Япония,24,149.22041666666666666667,73.20833333333333333333
фигурное катание,женский пол,Австралия,2,155,44.5
фигурное катание,женский пол,Австрия,1,154,47
фигурное катание,женский пол,Бельгия,1,162,51
фигурное катание,женский пол,Болгария,1,147,46
фигурное катание,женский пол,Великобритания,1,162,48
фигурное катание,женский пол,Венгрия,2,162,51
фигурное катание,женский пол,Германия,1,170,58
фигурное катание,женский пол,Италия,7,161.14285714285714285714,51.28571428571428571429
фигурное катание,женский пол,КНДР,1,150,38
фигурное катание,женский пол,Канада,7,131.80714285714285714286,48.42857142857142857143
фигурное катание,женский пол,Китай,4,161.25,45
фигурное катание,женский пол,Люксембург,1,1.58,48
