athlete,athleteLabel,sportLabel,award,awardLabel,medalTypeLabel,year,countryLabel
http://www.wikidata.org/entity/Q15979668,Anja Wicker,биатлон,http://www.wikidata.org/entity/Q315026,Серебряный лавровый лист,,,Германия
http://www.wikidata.org/entity/Q15980179,Yuri Utkin,биатлон,http://www.wikidata.org/entity/Q29017281,орден «За заслуги» III степени,,,Украина
http://www.wikidata.org/entity/Q953322,Алексей Анатольевич Волков,биатлон,http://www.wikidata.org/entity/Q791135,орден Дружбы,,,Россия
http://www.wikidata.org/entity/Q2560358,Анна Александровна Бурмистрова,биатлон,http://www.wikidata.org/entity/Q2268261,орден Почёта,,,Россия
http://www.wikidata.org/entity/Q2560358,Анна Александровна Бурмистрова,биатлон,http://www.wikidata.org/entity/Q18080423,орден «За заслуги перед Отечеством» IV степени,,,Россия
http://www.wikidata.org/entity/Q2560358,Анна Александровна Бурмистрова,биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,,Россия
http://www.wikidata.org/entity/Q2560358,Анна Александровна Бурмистрова,биатлон,http://www.wikidata.org/entity/Q2268261,орден Почёта,,,СССР
http://www.wikidata.org/entity/Q2560358,Анна Александровна Бурмистрова,биатлон,http://www.wikidata.org/entity/Q18080423,орден «За заслуги перед Отечеством» IV степени,,,СССР
http://www.wikidata.org/entity/Q2560358,Анна Александровна Бурмистрова,биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,,СССР
http://www.wikidata.org/entity/Q520291,Антон Владимирович Шипулин,биатлон,http://www.wikidata.org/entity/Q19030089,медаль ордена «За заслуги перед Отечеством» II степени,,,Россия
http://www.wikidata.org/entity/Q520291,Антон Владимирович Шипулин,биатлон,http://www.wikidata.org/entity/Q791135,орден Дружбы,,,Россия
http://www.wikidata.org/entity/Q48440010,Антон Смольский,биатлон,http://www.wikidata.org/entity/Q107802335,Биатлон на зимних Олимпийских играх 2022 — индивидуальная гонка (мужчины),,,Беларусь
http://www.wikidata.org/entity/Q16166176,"Буй, Ирина Васильевна",биатлон,http://www.wikidata.org/entity/Q29561486,орден княгини Ольги III степени,,,Украина
http://www.wikidata.org/entity/Q16166176,"Буй, Ирина Васильевна",биатлон,http://www.wikidata.org/entity/Q20068270,Мастер спорта Украины международного класса,,,Украина
http://www.wikidata.org/entity/Q15854388,"Бутаков, Виктор Васильевич",биатлон,http://www.wikidata.org/entity/Q1803234,мастер спорта СССР,,,Россия
http://www.wikidata.org/entity/Q15854388,"Бутаков, Виктор Васильевич",биатлон,http://www.wikidata.org/entity/Q1803234,мастер спорта СССР,,,СССР
http://www.wikidata.org/entity/Q265382,Валентина Александровна Семеренко,биатлон,http://www.wikidata.org/entity/Q29017356,орден «За заслуги» II степени,,,Украина
http://www.wikidata.org/entity/Q6482065,Ванесса Хинц,биатлон,http://www.wikidata.org/entity/Q672787,Баварский орден «За заслуги»,,,Германия
http://www.wikidata.org/entity/Q4103653,"Варвинец, Ирина Анатольевна",биатлон,http://www.wikidata.org/entity/Q29561485,орден княгини Ольги II степени,,,Украина
http://www.wikidata.org/entity/Q4103653,"Варвинец, Ирина Анатольевна",биатлон,http://www.wikidata.org/entity/Q29561486,орден княгини Ольги III степени,,,Украина
http://www.wikidata.org/entity/Q257713,Вита Александровна Семеренко,биатлон,http://www.wikidata.org/entity/Q29017281,орден «За заслуги» III степени,,,Украина
http://www.wikidata.org/entity/Q15918908,Владислав Алексеевич Лекомцев,биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,,Россия
http://www.wikidata.org/entity/Q4113910,"Вовчинский, Григорий Васильевич",биатлон,http://www.wikidata.org/entity/Q29017353,орден «За заслуги» I степени,,,Украина
http://www.wikidata.org/entity/Q4113910,"Вовчинский, Григорий Васильевич",биатлон,http://www.wikidata.org/entity/Q29017356,орден «За заслуги» II степени,,,Украина
